endpoint	operation_id	param_value_tested	http_status	n_results	result_shape	notes	url
/genes/genes	query.genesGenes	interaction_type=dosage growth defect (sensu BioGRID)	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genes?interaction_type=dosage+growth+defect+%28sensu+BioGRID%29&page=0
/genes/genes	query.genesGenes	z_score=gt:4	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genes?z_score=gt%3A4&page=0
/genes/genes	query.genesGenes	label=genetic interference	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genes?label=genetic+interference&page=0
/genes/genes	query.genesGenes	method=COXPRESdb	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genes?method=COXPRESdb&page=0
/genes/genes	query.genesGenes	name='interacts with' or 'coexpressed with'	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""received"":""'interacts with' or 'coexpressed with'"",""code"":""invalid_enum_value"",""options"":[""coexpressed with"",""interacts with""],""path"":[""name""],""message"":""Invalid enum value. Expected 'coexpressed with' | 'interacts with', received ''interacts with' or 'coexpressed with''""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genes?name=%27interacts+with%27+or+%27coexpressed+with%27&page=0
/genes/genomic-elements	query.genomicElementsFromGenes	method=Pertub-seq	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""received"":""Pertub-seq"",""code"":""invalid_enum_value"",""options"":[""CRISPR FACS screen"",""CRISPR enhancer perturbation screen"",""ENCODE-rE2G"",""Perturb-seq"",""TAP-seq""],""path"":[""method""],""message"":""Invalid enum value. Expected 'CRISPR FACS screen' | 'CRISPR enhancer perturbation screen' | 'ENCODE-rE2G' | 'Perturb-seq' | 'TAP-seq', received 'Pertub-seq'""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genomic-elements?method=Pertub-seq&page=0
/genes/genomic-elements	query.genomicElementsFromGenes	biosample_term=EFO_0002067	400			"{""message"":""At least one of those properties must be defined: gene_id, hgnc_id, name, alias, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genomic-elements?biosample_term=EFO_0002067&page=0
/genes/genomic-elements	query.genomicElementsFromGenes	biological_context=placenta from ENCDO091OEF	400			"{""message"":""At least one of those properties must be defined: gene_id, hgnc_id, name, alias, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genomic-elements?biological_context=placenta+from+ENCDO091OEF&page=0
/genes/genomic-elements	query.genomicElementsFromGenes	source=IGVF	400			"{""message"":""At least one of those properties must be defined: gene_id, hgnc_id, name, alias, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genomic-elements?source=IGVF&page=0
/genes/genomic-elements	query.genomicElementsFromGenes	verbose=true	400			"{""message"":""At least one of those properties must be defined: gene_id, hgnc_id, name, alias, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/genomic-elements?verbose=true&page=0
